"Date","Amount","Description","Category","User"
"2016-06-17",568.73,"Description12","Category3","User2"
"2016-06-16",20,"Description478","Category4","User2"
"2016-06-15",3.91,"Description147","Category4","User2"
"2016-06-15",2.07,"Description147","Category4","User2"
"2016-06-15",20.4,"Description225","Category6","User2"
"2016-06-14",7,"Description306","Category1","User2"
"2016-06-08",76.95,"Description11","Category3","User2"
"2016-06-06",1278.34,"Description40","Category1","User2"
"2016-06-03",746.97,"Description12","Category3","User2"
"2016-05-31",25,"Description82","Category6","User2"
"2016-05-31",10.55,"Description4","Category4","User2"
"2016-05-31",24.34,"Description315","Category2","User2"
"2016-05-31",7,"Description306","Category1","User2"
"2016-05-31",19.35,"Description471","Category2","User2"
"2016-05-31",8,"Description210","Category5","User2"
"2016-05-31",8.71,"Description466","Category2","User2"
"2016-05-31",4.51,"Description219","Category5","User2"
"2016-05-31",2,"Description239","Category5","User2"
"2016-05-31",150.28,"Description232","Category5","User2"
"2016-05-27",12,"Description413","Category4","User2"
"2016-05-26",16,"Description373","Category4","User2"
"2016-05-26",11.01,"Description325","Category4","User2"
"2016-05-25",218.14,"Description24","Category1","User2"
"2016-05-24",8.97,"Description260","Category4","User2"
"2016-05-24",7.95,"Description105","Category4","User2"
"2016-05-23",236.96,"Description65","Category6","User2"
"2016-05-23",236.86,"Description356","Category3","User2"
"2016-05-20",296.4,"Description81","Category6","User2"
"2016-05-20",236.86,"Description65","Category6","User2"
"2016-05-20",746.97,"Description12","Category3","User2"
"2016-05-19",39.5,"Description102","Category6","User2"
"2016-05-19",4,"Description175","Category6","User2"
"2016-05-18",7,"Description306","Category1","User2"
"2016-05-10",30.59,"Description135","Category5","User2"
"2016-05-06",791.53,"Description12","Category3","User2"
"2016-05-05",500,"Description289","Category3","User2"
"2016-05-03",44.99,"Description350","Category1","User2"
"2016-05-02",2.01,"Description147","Category4","User2"
"2016-04-28",6.1,"Description147","Category4","User2"
"2016-04-28",2.39,"Description147","Category4","User2"
"2016-04-27",96.82,"Description23","Category1","User2"
"2016-04-25",1.75,"Description306","Category1","User2"
"2016-04-22",746.97,"Description12","Category3","User2"
"2016-04-19",147.84,"Description18","Category1","User2"
"2016-04-18",38.5,"Description193","Category1","User2"
"2016-04-15",6.05,"Description314","Category2","User2"
"2016-04-08",746.97,"Description12","Category3","User2"
"2016-04-06",129,"Description14","Category3","User2"
"2016-04-04",1304.95,"Description46","Category1","User2"
"2016-03-30",141.48,"Description22","Category1","User2"
"2016-03-30",6.1,"Description147","Category4","User2"
"2016-03-28",24.61,"Description133","Category5","User2"
"2016-03-25",746.97,"Description12","Category3","User2"
"2016-03-21",11,"Description325","Category4","User2"
"2016-03-21",7,"Description413","Category4","User2"
"2016-03-18",5.94,"Description341","Category4","User2"
"2016-03-18",2.17,"Description341","Category4","User2"
"2016-03-17",39.37,"Description193","Category1","User2"
"2016-03-16",33.84,"Description62","Category5","User2"
"2016-03-15",7,"Description306","Category1","User2"
"2016-03-15",3.5,"Description306","Category1","User2"
"2016-03-11",746.97,"Description12","Category3","User2"
"2016-03-08",1308.4,"Description39","Category1","User2"
"2016-03-07",7.41,"Description305","Category2","User2"
"2016-02-29",20,"Description161","Category6","User2"
"2016-02-26",6.1,"Description147","Category4","User2"
"2016-02-26",746.97,"Description12","Category3","User2"
"2016-02-22",7,"Description306","Category1","User2"
"2016-02-22",5.25,"Description306","Category1","User2"
